fold,model,train_time,Brier,BACC,MCC,SE,PPV,SP,NPV,timestamp
4,SVM_linear,0.022181034088134766,0.10236573454974986,0.8299101412066752,0.7256905312483929,0.6842105263157895,0.9285714285714286,0.975609756097561,0.8695652173913043,2025-10-08 11:18:22.843551
4,SVM_rbf,0.023302078247070312,0.1167173487375469,0.7913992297817715,0.6409795742933276,0.631578947368421,0.8571428571428571,0.9512195121951219,0.8478260869565217,2025-10-08 11:18:22.843551
4,kNN_k5,0.06465363502502441,0.1819789578163711,0.6598202824133504,0.4164129963551078,0.3684210526315789,0.7777777777777778,0.9512195121951219,0.7647058823529411,2025-10-08 11:18:22.843551
4,DT,0.012638568878173828,0.21988979760475125,0.6129653401797176,0.23766082994439533,0.42105263157894735,0.5,0.8048780487804879,0.75,2025-10-08 11:18:22.843551
4,RF,0.19707822799682617,0.1278579583002185,0.7528883183568678,0.5562686173382623,0.5789473684210527,0.7857142857142857,0.926829268292683,0.8260869565217391,2025-10-08 11:18:22.843551
4,NB,0.011332035064697266,0.13133426392442277,0.6983311938382541,0.5167534774045314,0.42105263157894735,0.8888888888888888,0.975609756097561,0.7843137254901961,2025-10-08 11:18:22.843551
4,GB,0.10618209838867188,0.15701759246473565,0.754813863928113,0.5260936858500342,0.631578947368421,0.7058823529411765,0.8780487804878049,0.8372093023255814,2025-10-08 11:18:22.843551
4,MLP,0.13262271881103516,0.15155751710223309,0.7368421052631579,0.617093958453955,0.47368421052631576,1.0,1.0,0.803921568627451,2025-10-08 11:18:22.843551
5,LR,0.022414445877075195,0.14885818370200432,0.700657894736842,0.43064665222774007,0.5263157894736842,0.6666666666666666,0.875,0.7954545454545454,2025-10-08 11:18:22.843551
5,SVM_linear,0.04148435592651367,0.1500454863247871,0.6868421052631579,0.42127040662832244,0.47368421052631576,0.6923076923076923,0.9,0.782608695652174,2025-10-08 11:18:22.843551
5,SVM_rbf,0.0256807804107666,0.15047186597337153,0.7394736842105263,0.5139520701996636,0.5789473684210527,0.7333333333333333,0.9,0.8181818181818182,2025-10-08 11:18:22.843551
5,kNN_k5,0.050809621810913086,0.18328762078805183,0.6217105263157895,0.28256956319470483,0.3684210526315789,0.5833333333333334,0.875,0.7446808510638298,2025-10-08 11:18:22.843551
5,DT,0.011131763458251953,0.1449204707540418,0.7671052631578947,0.5342105263157895,0.6842105263157895,0.6842105263157895,0.85,0.85,2025-10-08 11:18:22.843551
5,RF,0.21996140480041504,0.12516554076008501,0.7657894736842106,0.5587021593077813,0.631578947368421,0.75,0.9,0.8372093023255814,2025-10-08 11:18:22.843551
5,NB,0.012432575225830078,0.13121376115418734,0.7644736842105263,0.5963052938893859,0.5789473684210527,0.8461538461538461,0.95,0.8260869565217391,2025-10-08 11:18:22.843551
5,GB,0.1162405014038086,0.16048353493704945,0.7532894736842105,0.5226426262346786,0.631578947368421,0.7058823529411765,0.875,0.8333333333333334,2025-10-08 11:18:22.843551
5,MLP,0.08054184913635254,0.24175280970619747,0.6019736842105263,0.1919469687630493,0.5789473684210527,0.4230769230769231,0.625,0.7575757575757576,2025-10-08 11:18:22.843551
